DIALS 1.dev.75-g8c1986a
The following parameters have been modified:

spotfinder {
  mp {
    nproc = 4
  }
}
input {
  datablock = datablock.json
}

Setting spotfinder.filter.min_spot_size=3
Configuring spot finder from input parameters
--------------------------------------------------------------------------------
Finding strong spots in imageset 0
--------------------------------------------------------------------------------


Finding spots in image 1 to 540...
Extracting strong pixels from images
 Using multiprocessing with 4 parallel job(s)

Found 1756 strong pixels on image 1
Found 1616 strong pixels on image 2
Found 1655 strong pixels on image 3
Found 1697 strong pixels on image 4
Found 1674 strong pixels on image 5
Found 1571 strong pixels on image 6
Found 1682 strong pixels on image 7
Found 1672 strong pixels on image 8
Found 1668 strong pixels on image 9
Found 1689 strong pixels on image 10
Found 1670 strong pixels on image 11
Found 1653 strong pixels on image 12
Found 1496 strong pixels on image 13
Found 1627 strong pixels on image 14
Found 1660 strong pixels on image 15
Found 1687 strong pixels on image 16
Found 1756 strong pixels on image 17
Found 1810 strong pixels on image 18
Found 1875 strong pixels on image 19
Found 1850 strong pixels on image 20
Found 1802 strong pixels on image 21
Found 1826 strong pixels on image 22
Found 1861 strong pixels on image 23
Found 1833 strong pixels on image 24
Found 1795 strong pixels on image 25
Found 1812 strong pixels on image 26
Found 1826 strong pixels on image 27
Found 1921 strong pixels on image 28
Found 1878 strong pixels on image 29
Found 1935 strong pixels on image 30
Found 1801 strong pixels on image 31
Found 1644 strong pixels on image 32
Found 1631 strong pixels on image 33
Found 1638 strong pixels on image 34
Found 1788 strong pixels on image 35
Found 1627 strong pixels on image 36
Found 1767 strong pixels on image 37
Found 1799 strong pixels on image 38
Found 1724 strong pixels on image 39
Found 1726 strong pixels on image 40
Found 1678 strong pixels on image 41
Found 1659 strong pixels on image 42
Found 1698 strong pixels on image 43
Found 1796 strong pixels on image 44
Found 1903 strong pixels on image 45
Found 1817 strong pixels on image 46
Found 1724 strong pixels on image 47
Found 1749 strong pixels on image 48
Found 1751 strong pixels on image 49
Found 1850 strong pixels on image 50
Found 1926 strong pixels on image 51
Found 1727 strong pixels on image 52
Found 1645 strong pixels on image 53
Found 1713 strong pixels on image 54
Found 1734 strong pixels on image 55
Found 1656 strong pixels on image 56
Found 1662 strong pixels on image 57
Found 1728 strong pixels on image 58
Found 1779 strong pixels on image 59
Found 1872 strong pixels on image 60
Found 1834 strong pixels on image 61
Found 1718 strong pixels on image 62
Found 1652 strong pixels on image 63
Found 1748 strong pixels on image 64
Found 1727 strong pixels on image 65
Found 1890 strong pixels on image 66
Found 1892 strong pixels on image 67
Found 1913 strong pixels on image 68
Found 1858 strong pixels on image 69
Found 1875 strong pixels on image 70
Found 1812 strong pixels on image 71
Found 1746 strong pixels on image 72
Found 1780 strong pixels on image 73
Found 1923 strong pixels on image 74
Found 1751 strong pixels on image 75
Found 1785 strong pixels on image 76
Found 1634 strong pixels on image 77
Found 1668 strong pixels on image 78
Found 1683 strong pixels on image 79
Found 1647 strong pixels on image 80
Found 1747 strong pixels on image 81
Found 1821 strong pixels on image 82
Found 1802 strong pixels on image 83
Found 1868 strong pixels on image 84
Found 1928 strong pixels on image 85
Found 1939 strong pixels on image 86
Found 1952 strong pixels on image 87
Found 1878 strong pixels on image 88
Found 1741 strong pixels on image 89
Found 1754 strong pixels on image 90
Found 1722 strong pixels on image 91
Found 1569 strong pixels on image 92
Found 1634 strong pixels on image 93
Found 1653 strong pixels on image 94
Found 1828 strong pixels on image 95
Found 1862 strong pixels on image 96
Found 1816 strong pixels on image 97
Found 1883 strong pixels on image 98
Found 1956 strong pixels on image 99
Found 1960 strong pixels on image 100
Found 1868 strong pixels on image 101
Found 1818 strong pixels on image 102
Found 1713 strong pixels on image 103
Found 1682 strong pixels on image 104
Found 1745 strong pixels on image 105
Found 1802 strong pixels on image 106
Found 1868 strong pixels on image 107
Found 1756 strong pixels on image 108
Found 1689 strong pixels on image 109
Found 1773 strong pixels on image 110
Found 1829 strong pixels on image 111
Found 1893 strong pixels on image 112
Found 1854 strong pixels on image 113
Found 1826 strong pixels on image 114
Found 1874 strong pixels on image 115
Found 1805 strong pixels on image 116
Found 1836 strong pixels on image 117
Found 1884 strong pixels on image 118
Found 1870 strong pixels on image 119
Found 1821 strong pixels on image 120
Found 1685 strong pixels on image 121
Found 1786 strong pixels on image 122
Found 1808 strong pixels on image 123
Found 1768 strong pixels on image 124
Found 1803 strong pixels on image 125
Found 1705 strong pixels on image 126
Found 1640 strong pixels on image 127
Found 1862 strong pixels on image 128
Found 1828 strong pixels on image 129
Found 1660 strong pixels on image 130
Found 1869 strong pixels on image 131
Found 1849 strong pixels on image 132
Found 1800 strong pixels on image 133
Found 1783 strong pixels on image 134
Found 1744 strong pixels on image 135
Found 1706 strong pixels on image 136
Found 1876 strong pixels on image 137
Found 1868 strong pixels on image 138
Found 1809 strong pixels on image 139
Found 1796 strong pixels on image 140
Found 1812 strong pixels on image 141
Found 1746 strong pixels on image 142
Found 1717 strong pixels on image 143
Found 1806 strong pixels on image 144
Found 1682 strong pixels on image 145
Found 1793 strong pixels on image 146
Found 1751 strong pixels on image 147
